method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FDFL-0.1,0.0,44,log_linear,2.0,mad,50,0.1336103821749061,35.8262142975962,269.6504905797713
FDFL-0.1,1.0,44,log_linear,2.0,mad,50,0.1384044677843551,62.649913442443214,419.3660604703179
FDFL-0.1,0.0,55,log_linear,2.0,mad,50,0.1339856305958102,74.41539140153397,227.15247703261025
FDFL-0.1,1.0,55,log_linear,2.0,mad,50,0.138310838162623,89.14457860599049,260.11392251707707
FDFL-0.5,0.0,11,log_linear,2.0,mad,50,0.1398520708836781,78.22977383287304,204.1912424458585
FDFL-0.5,1.0,11,log_linear,2.0,mad,50,0.141572494490647,50.373855086119626,213.80732070058863
FDFL-0.5,0.0,22,log_linear,2.0,mad,50,0.1363706584115922,72.48884065400618,196.7263879345148
FDFL-0.5,1.0,22,log_linear,2.0,mad,50,0.1376745594799286,95.75472244804824,225.97941566509448
FDFL-0.5,0.0,33,log_linear,2.0,mad,50,0.1363145578297268,50.26469396321236,297.7192549530468
FDFL-0.5,1.0,33,log_linear,2.0,mad,50,0.135554233892316,113.01512381887676,394.04736924832974
FDFL-0.5,0.0,44,log_linear,2.0,mad,50,0.1344976565184312,39.23387762793154,231.7608414259508
FDFL-0.5,1.0,44,log_linear,2.0,mad,50,0.1376718773942714,55.02785228751781,399.74923266524735
FDFL-0.5,0.0,55,log_linear,2.0,mad,50,0.1361597667213335,62.39730069215288,208.7202173042212
FDFL-0.5,1.0,55,log_linear,2.0,mad,50,0.137299318552453,72.63434143015795,225.6205863181502
FDFL-Scal,0.0,11,log_linear,2.0,mad,50,0.1412027824194874,54.0595646847728,192.77408417909933
FDFL-Scal,1.0,11,log_linear,2.0,mad,50,0.1415579891582455,49.688861154474985,201.3064927914316
FDFL-Scal,0.0,22,log_linear,2.0,mad,50,0.1372723563198785,73.7608282580171,190.11307717543863
FDFL-Scal,1.0,22,log_linear,2.0,mad,50,0.1372486287339757,91.4295086633205,213.42635534576488
FDFL-Scal,0.0,33,log_linear,2.0,mad,50,0.1362412038759482,910.200967786796,1908.6244710740875
FDFL-Scal,1.0,33,log_linear,2.0,mad,50,0.1368987016103612,62.42561317943884,252.5823301871547
FDFL-Scal,0.0,44,log_linear,2.0,mad,50,0.1372725918378595,39.660458620800746,192.65181165605867
FDFL-Scal,1.0,44,log_linear,2.0,mad,50,0.1362354513434685,45.63432271954052,236.8595969777408
FDFL-Scal,0.0,55,log_linear,2.0,mad,50,0.1380808439459033,57.79860644444061,197.2455515829821
FDFL-Scal,1.0,55,log_linear,2.0,mad,50,0.1382829742688417,76.39270580136916,212.94443251445048
FDFL,0.0,11,log_linear,2.0,mad,50,0.1393509039199499,94.03458631451856,271.35023385905424
FDFL,1.0,11,log_linear,2.0,mad,50,0.1472403115755119,65.33053303470687,293.9892250902232
FDFL,0.0,22,log_linear,2.0,mad,50,0.1344580635479787,89.11252296238202,333.6212837072514
FDFL,1.0,22,log_linear,2.0,mad,50,0.1389237658801405,172.65781423602414,318.74505315589835
FDFL,0.0,33,log_linear,2.0,mad,50,0.1340680958834345,58.0523864137168,337.4837545249088
FDFL,1.0,33,log_linear,2.0,mad,50,0.1412751046389861,88.16988673180826,503.2476330020415
FDFL,0.0,44,log_linear,2.0,mad,50,0.1335113795824632,94.82485873038802,332.1833688819483
FDFL,1.0,44,log_linear,2.0,mad,50,0.1393574646575864,68.12175206718263,355.6387606538306
FDFL,0.0,55,log_linear,2.0,mad,50,0.133414977271207,79.59028874970775,263.1586243944081
FDFL,1.0,55,log_linear,2.0,mad,50,0.1368682035275581,87.74226730567956,288.9551738512909
FPLG,0.0,11,log_linear,2.0,mad,50,0.1392561779137309,100.4597250995154,267.40271911676723
FPLG,1.0,11,log_linear,2.0,mad,50,0.1435384758683166,65.44817501169796,272.7338229684485
FPLG,0.0,22,log_linear,2.0,mad,50,0.1344363811854247,118.08283466892613,271.485286349842
FPLG,1.0,22,log_linear,2.0,mad,50,0.1352887726115088,157.72323855627204,293.31325166226003
FPLG,0.0,33,log_linear,2.0,mad,50,0.1340226503053749,81.70973120866464,363.65562665732335
FPLG,1.0,33,log_linear,2.0,mad,50,0.1352001925761331,85.16156269025075,516.490085006873
FPLG,0.0,44,log_linear,2.0,mad,50,0.1335907010886404,57.30815120329193,272.93856268042015
FPLG,1.0,44,log_linear,2.0,mad,50,0.1338511910291375,44.68128133886096,296.80675857631775
FPLG,0.0,55,log_linear,2.0,mad,50,0.1334293842160081,86.16961042375196,251.44028465345573
FPLG,1.0,55,log_linear,2.0,mad,50,0.1343953982052683,72.48391763028307,261.7983561838466
FPTO,0.0,11,log_linear,2.0,mad,50,0.1429933124457305,641.4013388899436,657.0052474811501
FPTO,1.0,11,log_linear,2.0,mad,50,0.1429933124457305,641.4013388899436,657.0052474811501
FPTO,0.0,22,log_linear,2.0,mad,50,0.1368285686290032,1114.8532433211178,743.9368632610991
FPTO,1.0,22,log_linear,2.0,mad,50,0.1368285686290032,1114.8532433211178,743.9368632610991
FPTO,0.0,33,log_linear,2.0,mad,50,0.1368706150320061,630.4823673525099,1683.298404207249
FPTO,1.0,33,log_linear,2.0,mad,50,0.1368706150320061,630.4823673525099,1683.298404207249
FPTO,0.0,44,log_linear,2.0,mad,50,0.1370576738303827,144.5043312000556,917.6478223740198
FPTO,1.0,44,log_linear,2.0,mad,50,0.1370576738303827,144.5043312000556,917.6478223740198
FPTO,0.0,55,log_linear,2.0,mad,50,0.135785316662881,574.27080387725,610.3845493544505
FPTO,1.0,55,log_linear,2.0,mad,50,0.135785316662881,574.27080387725,610.3845493544505
MGDA,0.0,11,log_linear,2.0,mad,50,0.141951645655355,52.45467451051445,189.06432000751053
MGDA,0.0,22,log_linear,2.0,mad,50,0.1381551226421589,86.66749776630319,209.73908903579624
MGDA,0.0,33,log_linear,2.0,mad,50,0.1386569418370282,68.481428652132,206.54659759259843
MGDA,0.0,44,log_linear,2.0,mad,50,0.136681297100468,35.52425005477846,227.49534480943305
MGDA,0.0,55,log_linear,2.0,mad,50,0.1417571572751951,66.0395512286509,195.98098482386192
NashMTL,0.0,11,log_linear,2.0,mad,50,0.1391088414057548,70.77659321007887,274.24427472984115
NashMTL,0.0,22,log_linear,2.0,mad,50,0.1344321334311433,85.60738313224056,275.14442305258507
NashMTL,0.0,33,log_linear,2.0,mad,50,0.1342680579525277,68.43515621181878,322.6527257347268
NashMTL,0.0,44,log_linear,2.0,mad,50,0.1336489853790206,69.31809538837085,280.95469500938987
NashMTL,0.0,55,log_linear,2.0,mad,50,0.1337577609124083,80.17514847394386,277.6418459511593
PCGrad,0.0,11,log_linear,2.0,mad,50,0.1392395082496402,53.83279543779487,226.84258272441988
PCGrad,0.0,22,log_linear,2.0,mad,50,0.1351928668876412,146.97729286580892,242.92326308721863
PCGrad,0.0,33,log_linear,2.0,mad,50,0.1344186690219255,93.4863984187509,282.07846631806245
PCGrad,0.0,44,log_linear,2.0,mad,50,0.1371294339284898,26.120471785617703,223.1885585605654
PCGrad,0.0,55,log_linear,2.0,mad,50,0.1354228972903148,83.26998377290616,219.3907945227071
SAA,0.0,11,log_linear,2.0,mad,50,0.2799676349803477,46.01171050806397,246.50197799107875
SAA,0.0,22,log_linear,2.0,mad,50,0.2770559949067639,71.91671485231049,248.0466931442711
