method,lambda,seed,cap,alpha,imbalance,n_groups,test_regret_normalized,test_fairness,test_pred_mse
NashMTL,0.0,11,linear,2.0,0.0,2.0,0.3062173989992273,0.183218291811346,2.03306738493792
NashMTL,0.0,22,linear,2.0,0.0,2.0,0.1725198262777801,0.0489125243266066,0.4483463890913035
NashMTL,0.0,33,linear,2.0,0.0,2.0,0.2585966274297984,0.0761738310469092,1.0101886944385337
NashMTL,0.0,44,linear,2.0,0.0,2.0,0.16810301248318,0.2020133999583053,1.651303435137623
NashMTL,0.0,55,linear,2.0,0.0,2.0,0.2217475111991056,0.1725595482531329,1.898943070891433
PCGrad,0.0,11,linear,2.0,0.0,2.0,0.3058497806099564,0.1751317481286688,1.963022053515033
PCGrad,0.0,22,linear,2.0,0.0,2.0,0.1772888634360587,0.04568901140118,0.4432224723125291
PCGrad,0.0,33,linear,2.0,0.0,2.0,0.2716797260598579,0.062031162122619,0.9493163039136328
PCGrad,0.0,44,linear,2.0,0.0,2.0,0.2013456854228505,0.1894068355795579,1.5471816747357898
PCGrad,0.0,55,linear,2.0,0.0,2.0,0.2306837856710374,0.175211964533421,1.746372930092358
SAA,0.0,11,linear,2.0,0.0,2.0,0.731802046391068,0.2902024518306756,3.5763886931512614
SAA,0.0,22,linear,2.0,0.0,2.0,0.5956690017432641,0.0827118846506374,1.022739255441217
SAA,0.0,33,linear,2.0,0.0,2.0,0.7119053491237897,0.1195281372023616,1.8162441902820043
SAA,0.0,44,linear,2.0,0.0,2.0,0.552215834303204,0.2385082989769053,2.3183995146705443
SAA,0.0,55,linear,2.0,0.0,2.0,0.7278724121798753,0.2042281802714254,3.3062427026241026
WDRO,0.0,11,linear,2.0,0.0,2.0,0.3380206753503701,0.1886934826975747,2.02420154590947
WDRO,0.0,22,linear,2.0,0.0,2.0,0.2081777410207815,0.0478156857496039,0.4755451367498217
WDRO,0.0,33,linear,2.0,0.0,2.0,0.3703714799389274,0.0617845347472593,0.9138761134896533
WDRO,0.0,44,linear,2.0,0.0,2.0,0.2824755084588214,0.2178049270251205,1.5597703070720337
WDRO,0.0,55,linear,2.0,0.0,2.0,0.2910634879234398,0.1868612682517029,1.6888042817610516
FDFL-0.1,0.0,11,linear,2.0,0.2,2.0,0.3274876691602749,0.2633224482970387,3.3699044964831426
FDFL-0.1,1.0,11,linear,2.0,0.2,2.0,0.3275699086246151,0.262863428424934,3.3639890912618755
FDFL-0.1,0.0,22,linear,2.0,0.2,2.0,0.1884398703152985,0.102134880765905,0.6176958758271627
FDFL-0.1,1.0,22,linear,2.0,0.2,2.0,0.1888346339000823,0.1017926569857174,0.6163781023577672
FDFL-0.1,0.0,33,linear,2.0,0.2,2.0,0.2987201216558736,0.1209992968493612,1.351671300361326
FDFL-0.1,1.0,33,linear,2.0,0.2,2.0,0.2981570922742093,0.1207189604605492,1.3499096650691036
FDFL-0.1,0.0,44,linear,2.0,0.2,2.0,0.1876453344003242,0.4276965692869724,2.7008141049941665
FDFL-0.1,1.0,44,linear,2.0,0.2,2.0,0.1876005960668099,0.4266750407662422,2.691481463265516
FDFL-0.1,0.0,55,linear,2.0,0.2,2.0,0.2420525100386088,0.2706016667185716,3.050763054225724
FDFL-0.1,1.0,55,linear,2.0,0.2,2.0,0.2418610841033648,0.2681424348883612,3.025549825712381
FDFL-0.5,0.0,11,linear,2.0,0.2,2.0,0.3275580320145159,0.2619588906348826,3.3496582526279752
FDFL-0.5,1.0,11,linear,2.0,0.2,2.0,0.3276115316364155,0.2615012819348366,3.34370452428818
FDFL-0.5,0.0,22,linear,2.0,0.2,2.0,0.1888472855805821,0.1015259382349871,0.6151990023477278
